% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.006	2	2	1	7	1	2	137
0.007	2	2	1	8	1	2	137
0.008	2	2	1	9	1	2	137
0.009	2	2	1	10	1	2	137
0.01	2	2	2	1	1	2	137
0.011	2	2	2	2	1	2	137
0.012	2	2	2	3	1	2	137
0.013	2	2	2	4	1	2	137
0.014	2	2	2	5	1	2	137
0.015	2	2	2	6	1	2	137
0.016	2	2	2	7	1	2	137
0.017	2	2	2	8	1	2	137
0.018	2	2	2	9	1	2	137
0.019	2	2	2	10	1	2	137
0.02	2	2	3	1	1	2	137
0.021	2	2	3	2	1	2	137
0.022	2	2	3	3	1	2	137
0.023	2	2	3	4	1	2	137
0.024	2	2	3	5	1	2	137
0.025	2	2	3	6	1	2	137
0.026	2	2	3	7	1	2	137
0.027	2	2	3	8	1	2	137
0.028	2	2	3	9	1	2	137
0.029	2	2	3	10	1	2	137
0.03	2	2	4	1	1	2	137
0.031	2	2	4	2	1	2	137
0.032	2	2	4	3	1	2	137
0.033	2	2	4	4	1	2	137
0.034	2	2	4	5	1	2	137
0.035	2	2	4	6	1	2	137
0.036	2	2	4	7	1	2	137
0.037	2	2	4	8	1	2	137
0.038	2	2	4	9	1	2	137
0.039	2	2	4	10	1	2	137
0.04	2	2	5	1	1	2	137
0.041	2	2	5	2	1	2	137
0.042	2	2	5	3	1	2	137
0.043	2	2	5	4	1	2	137
0.044	2	2	5	5	1	2	137
0.045	2	2	5	6	1	2	137
0.046	2	2	5	7	1	2	137
0.047	2	2	5	8	1	2	137
0.048	2	2	5	9	1	2	137
0.049	2	2	5	10	1	2	137
0.05	2	2	6	1	1	2	137
0.051	2	2	6	2	1	2	137
0.052	2	2	6	3	1	2	137
0.053	2	2	6	4	1	2	137
0.054	2	2	6	5	1	2	137
0.055	2	2	6	6	1	2	137
0.056	2	2	6	7	1	2	137
0.057	2	2	6	8	1	2	137
0.058	2	2	6	9	1	2	137
0.059	2	2	6	10	1	2	137
0.06	2	2	7	1	1	2	137
0.061	2	2	7	2	1	2	137
0.062	2	2	7	3	1	2	137
0.063	2	2	7	4	1	2	137
0.064	2	2	7	5	1	2	137
0.065	2	2	7	6	1	2	137
0.066	2	2	7	7	1	2	137
0.067	2	2	7	8	1	2	137
0.068	2	2	7	9	1	2	137
0.069	2	2	7	10	1	2	137
0.07	2	2	8	1	1	2	137
0.071	2	2	8	2	1	2	137
0.072	2	2	8	3	1	2	137
0.073	2	2	8	4	1	2	137
0.074	2	2	8	5	1	2	137
0.075	2	2	8	6	1	2	137
0.076	2	2	8	7	1	2	137
0.077	2	2	8	8	1	2	137
0.078	2	2	8	9	1	2	137
0.079	2	2	8	10	1	2	137
0.08	2	2	9	1	1	2	137
0.081	2	2	9	2	1	2	137
0.082	2	2	9	3	1	2	137
0.083	2	2	9	4	1	2	137
0.084	2	2	9	5	1	2	137
0.085	2	2	9	6	1	2	137
0.086	2	2	9	7	1	2	137
0.087	2	2	9	8	1	2	137
0.088	2	2	9	9	1	2	137
0.089	2	2	9	10	1	2	137
0.09	2	2	10	1	1	2	137
0.091	2	2	10	2	1	2	137
0.092	2	2	10	3	1	2	137
0.093	2	2	10	4	1	2	137
0.094	2	2	10	5	1	2	137
0.095	2	2	10	6	1	2	137
0.096	2	2	10	7	1	2	137
0.097	2	2	10	8	1	2	137
0.098	2	2	10	9	1	2	137
0.099	2	2	10	10	1	2	137
0.1	2	2	11	1	1	2	137
0.101	2	2	11	2	1	2	137
0.102	2	2	11	3	1	2	137
0.103	2	2	11	4	1	2	137
0.104	2	2	11	5	1	2	137
0.105	2	2	11	6	1	2	137
0.106	2	2	11	7	1	2	137
0.107	2	2	11	8	1	2	137
0.108	2	2	11	9	1	2	137
0.109	2	2	11	10	1	2	137
0.11	2	2	12	1	1	2	137
0.111	2	2	12	2	1	2	137
0.112	2	2	12	3	1	2	137
0.113	2	2	12	4	1	2	137
0.114	2	2	12	5	1	2	137
0.115	2	2	12	6	1	2	137
0.116	2	2	12	7	1	2	137
0.117	2	2	12	8	1	2	137
0.118	2	2	12	9	1	2	137
0.119	2	2	12	10	1	2	137
0.12	2	2	13	1	1	2	137
0.121	2	2	13	2	1	2	137
0.122	2	2	13	3	1	2	137
0.123	2	2	13	4	1	2	137
0.124	2	2	13	5	1	2	137
0.125	2	2	13	6	1	2	137
0.126	2	2	13	7	1	2	137
0.127	2	2	13	8	1	2	137
0.128	2	2	13	9	1	2	137
0.129	2	2	13	10	1	2	137
0.13	2	2	14	1	1	2	137
0.131	2	2	14	2	1	2	137
0.132	2	2	14	3	1	2	137
0.133	2	2	14	4	1	2	137
0.134	2	2	14	5	1	2	137
0.135	2	2	14	6	1	2	137
0.136	2	2	14	7	1	2	137
0.137	2	2	14	8	1	2	137
0.138	2	2	14	9	1	2	137
0.139	2	2	14	10	1	2	137
0.14	2	2	15	1	1	2	137
0.141	2	2	15	2	1	2	137
0.142	2	2	15	3	1	2	137
0.143	2	2	15	4	1	2	137
0.144	2	2	15	5	1	2	137
0.145	2	2	15	6	1	2	137
0.146	2	2	15	7	1	2	137
0.147	2	2	15	8	1	2	137
0.148	2	2	15	9	1	2	137
0.149	2	2	15	10	1	2	137
0.15	2	2	16	1	1	2	137
0.151	2	2	16	2	1	2	137
0.152	2	2	16	3	1	2	137
0.153	2	2	16	4	1	2	137
0.154	2	2	16	5	1	2	137
0.155	2	2	16	6	1	2	137
0.156	2	2	16	7	1	2	137
0.157	2	2	16	8	1	2	137
0.158	2	2	16	9	1	2	137
0.159	2	2	16	10	1	2	137
0.16	2	2	17	1	1	2	137
0.161	2	2	17	2	1	2	137
0.162	2	2	17	3	1	2	137
0.163	2	2	17	4	1	2	137
0.164	2	2	17	5	1	2	137
0.165	2	2	17	6	1	2	137
0.166	2	2	17	7	1	2	137
0.167	2	2	17	8	1	2	137
0.168	2	2	17	9	1	2	137
0.169	2	2	17	10	1	2	137
0.17	2	2	18	1	1	2	137
0.171	2	2	18	2	1	2	137
0.172	2	2	18	3	1	2	137
0.173	2	2	18	4	1	2	137
0.174	2	2	18	5	1	2	137
0.175	2	2	18	6	1	2	137
0.176	2	2	18	7	1	2	137
0.177	2	2	18	8	1	2	137
0.178	2	2	18	9	1	2	137
0.179	2	2	18	10	1	2	137
0.18	2	2	19	1	1	2	137
0.181	2	2	19	2	1	2	137
0.182	2	2	19	3	1	2	137
0.183	2	2	19	4	1	2	137
0.184	2	2	19	5	1	2	137
0.185	2	2	19	6	1	2	137
0.186	2	2	19	7	1	2	137
0.187	2	2	19	8	1	2	137
0.188	2	2	19	9	1	2	137
0.189	2	2	19	10	1	2	137
0.19	2	2	20	1	1	2	137
0.191	2	2	20	2	1	2	137
0.192	2	2	20	3	1	2	137
0.193	2	2	20	4	1	2	137
0.194	2	2	20	5	1	2	137
0.195	2	2	20	6	1	2	137
0.196	2	2	20	7	1	2	137
0.197	2	2	20	8	1	2	137
0.198	2	2	20	9	1	2	137
0.199	2	2	20	10	1	2	137
0.2	2	2	21	1	1	2	137
0.201	2	2	21	2	1	2	137
0.202	2	2	21	3	1	2	137
0.203	2	2	21	4	1	2	137
0.204	2	2	21	5	1	2	137
0.205	2	2	21	6	1	2	137
0.206	2	2	21	7	1	2	137
0.207	2	2	21	8	1	2	137
0.208	2	2	21	9	1	2	137
0.209	2	2	21	10	1	2	137
0.21	2	2	22	1	1	2	137
0.211	2	2	22	2	1	2	137
0.212	2	2	22	3	1	2	137
0.213	2	2	22	4	1	2	137
0.214	2	2	22	5	1	2	137
0.215	2	2	22	6	1	2	137
0.216	2	2	22	7	1	2	137
0.217	2	2	22	8	1	2	137
0.218	2	2	22	9	1	2	137
0.219	2	2	22	10	1	2	137
0.22	2	2	23	1	1	2	137
0.221	2	2	23	2	1	2	137
0.222	2	2	23	3	1	2	137
0.223	2	2	23	4	1	2	137
0.224	2	2	23	5	1	2	137
0.225	2	2	23	6	1	2	137
0.226	2	2	23	7	1	2	137
0.227	2	2	23	8	1	2	137
0.228	2	2	23	9	1	2	137
0.229	2	2	23	10	1	2	137
0.23	2	2	24	1	1	2	137
